id,name,description,tags,input_schema,output_schema
1,AWSS3StoragePiece,AWS s3 Storage Default Piece,"[""""]","{""properties"":{""base_folder"":{""default"":"""",""title"":""Base Folder"",""type"":""string""},""bucket"":{""default"":"""",""title"":""Bucket"",""type"":""string""}},""title"":""InputModel"",""type"":""object""}",{}
2,SaveImagePiece,Save base64 as image file to results folder.,"[""default"", ""image""]","{""properties"":{""base64_data"":{""description"":""Input data to be saved as image."",""title"":""Base64 Data"",""type"":""string""}},""required"":[""base64_data""],""title"":""SaveImagePiece"",""type"":""object""}","{""properties"":{""output_image_path"":{""description"":""Output file path of the saved image."",""title"":""Output Image Path"",""type"":""string""}},""required"":[""output_image_path""],""title"":""OutputModel"",""type"":""object""}"
3,GetDateTimePiece,A Piece that gets system's current date and time.,"[""default"", ""datetime""]","{""$defs"":{""TZOptions"":{""enum"":[""(UTC-11) - Pacific/Pago_Pago"",""(UTC-10) - US/Hawaii"",""(UTC-09) - Pacific/Gambier"",""(UTC-08) - US/Alaska"",""(UTC-07) - US/Pacific"",""(UTC-06) - US/Mountain"",""(UTC-05) - US/Central"",""(UTC-04) - US/Eastern"",""(UTC-03) - Canada/Atlantic"",""(UTC-02) - Atlantic/South_Georgia"",""(UTC-01) - Atlantic/Cape_Verde"",""(UTC+00) - UTC"",""(UTC+01) - Europe/London"",""(UTC+02) - Europe/Zurich"",""(UTC+03) - Indian/Mayotte"",""(UTC+04) - Asia/Tehran"",""(UTC+05) - Asia/Kathmandu"",""(UTC+06) - Indian/Cocos"",""(UTC+07) - Indian/Christmas"",""(UTC+08) - Australia/Eucla"",""(UTC+09) - Australia/Darwin"",""(UTC+10) - Australia/Lord_Howe"",""(UTC+11) - Pacific/Pohnpei"",""(UTC+12) - Pacific/Chatham"",""(UTC+13) - Pacific/Tongatapu"",""(UTC+14) - Pacific/Kiritimati""],""title"":""TZOptions"",""type"":""string""}},""description"":""GetDateTimePiece Input Model"",""properties"":{""timezone"":{""allOf"":[{""$ref"":""#/$defs/TZOptions""}],""default"":""(UTC+00) - UTC"",""description"":""Timezone to use for timestamp.""},""use_timezone"":{""default"":false,""description"":""Whether to use a timezone for the timestamp."",""title"":""Use Timezone"",""type"":""boolean""}},""title"":""GetDateTimePiece"",""type"":""object""}","{""description"":""GetDateTimePiece Output Model"",""properties"":{""date"":{""description"":""Date of the timestamp, in ISO format."",""format"":""date"",""title"":""Date"",""type"":""string""},""datetime"":{""description"":""Datetime of the timestamp, in ISO format."",""format"":""date-time"",""title"":""Datetime"",""type"":""string""},""time"":{""description"":""Time of the timestamp, in ISO format."",""format"":""time"",""title"":""Time"",""type"":""string""}},""required"":[""date"",""time"",""datetime""],""title"":""OutputModel"",""type"":""object""}"
4,CustomPythonPiece,Executes user-defined Python code.,"[""default"", ""python""]","{""$defs"":{""InputKwargsModel"":{""properties"":{""kwarg_name"":{""default"":null,""description"":""Argument name."",""from_upstream"":""never"",""title"":""Kwarg Name"",""type"":""string""},""kwarg_value"":{""anyOf"":[{""type"":""string""},{""items"":{},""type"":""array""},{""type"":""integer""},{""type"":""number""},{""type"":""boolean""},{""type"":""object""},{""format"":""date"",""type"":""string""},{""format"":""time"",""type"":""string""},{""format"":""date-time"",""type"":""string""}],""default"":null,""description"":""Argument value."",""from_upstream"":""always"",""title"":""Kwarg Value""}},""title"":""InputKwargsModel"",""type"":""object""},""OutputModifierItemType"":{""description"":""OutputArgsType Enum"",""enum"":[""string"",""integer"",""float"",""boolean"",""array""],""title"":""OutputModifierItemType"",""type"":""string""},""OutputModifierModel"":{""properties"":{""description"":{""default"":"""",""description"":""Description of the output argument."",""from_upstream"":""never"",""title"":""Description"",""type"":""string""},""name"":{""description"":""Name of the output argument."",""from_upstream"":""never"",""title"":""Name"",""type"":""string""},""type"":{""allOf"":[{""$ref"":""#/$defs/OutputModifierItemType""}],""default"":""string"",""description"":""Type of the output argument."",""from_upstream"":""never""}},""required"":[""name""],""title"":""OutputModifierModel"",""type"":""object""}},""description"":""CustomPythonPiece Input Model"",""properties"":{""input_args"":{""default"":[{""kwarg_name"":""kwarg_2"",""kwarg_value"":""""},{""kwarg_name"":""kwarg_1"",""kwarg_value"":""""}],""description"":""Input arguments."",""from_upstream"":""never"",""items"":{""$ref"":""#/$defs/InputKwargsModel""},""title"":""Input Args"",""type"":""array""},""output_args"":{""default"":[{""description"":""An example string output"",""name"":""output_1"",""type"":""string""},{""description"":""An example integer output"",""name"":""output_2"",""type"":""integer""}],""description"":""Output arguments."",""from_upstream"":""never"",""items"":{""$ref"":""#/$defs/OutputModifierModel""},""title"":""Output Args"",""type"":""array""},""script"":{""default"":""# Do not modify the function definition line\ndef custom_function(kwarg_1, kwarg_2):\n    # Write your code here\n    print(f\""First argument: {kwarg_1}\"")\n    print(f\""Second argument: {kwarg_2}\"")\n\n    # Return the output of the function as an object,\n    # Matching the Output Args defined in the Form below\n    return {\n        \""output_1\"": \""this is a string\"",\n        \""output_2\"": 420\n    }\n"",""description"":""Python script."",""from_upstream"":""never"",""title"":""Script"",""type"":""string"",""widget"":""codeeditor-python""}},""title"":""CustomPythonPiece"",""type"":""object""}","{""additionalProperties"":true,""description"":""CustomPythonPiece Output Model"",""properties"":{},""title"":""OutputModel"",""type"":""object""}"
5,LogPiece,A Piece that logs its inputs.,"[""default"", ""log""]","{""$defs"":{""InputEnum"":{""enum"":[""option1"",""option2"",""option3""],""title"":""InputEnum"",""type"":""string""}},""description"":""LogPiece Input Model"",""properties"":{""input_array"":{""default"":[""default_1"",""default_2"",""default_3""],""description"":""Input array to be logged."",""items"":{""type"":""string""},""title"":""Input Array"",""type"":""array""},""input_bool"":{""default"":false,""description"":""Input boolean to be logged."",""title"":""Input Bool"",""type"":""boolean""},""input_code"":{""default"":""print('Hello world!')"",""description"":""Input code to be logged."",""title"":""Input Code"",""type"":""string"",""widget"":""codeeditor""},""input_date"":{""default"":""2023-01-01"",""description"":""Input date to be logged."",""format"":""date"",""title"":""Input Date"",""type"":""string""},""input_datetime"":{""default"":""2023-01-01T16:20:00"",""description"":""Input datetime to be logged."",""format"":""date-time"",""title"":""Input Datetime"",""type"":""string""},""input_enum"":{""allOf"":[{""$ref"":""#/$defs/InputEnum""}],""default"":""option1"",""description"":""Input enum to be logged.""},""input_float"":{""default"":10.5,""description"":""Input float to be logged."",""title"":""Input Float"",""type"":""number""},""input_int"":{""default"":10,""description"":""Input integer to be logged."",""title"":""Input Int"",""type"":""integer""},""input_str"":{""default"":""default value"",""description"":""Input string to be logged."",""title"":""Input Str"",""type"":""string""},""input_time"":{""default"":""16:20:00"",""description"":""Input time to be logged."",""format"":""time"",""title"":""Input Time"",""type"":""string""}},""title"":""LogPiece"",""type"":""object""}","{""description"":""LogPiece Output Model"",""properties"":{""output_array"":{""description"":""Output array logged."",""items"":{""type"":""string""},""title"":""Output Array"",""type"":""array""},""output_bool"":{""anyOf"":[{""type"":""boolean""},{""type"":""null""}],""description"":""Output boolean logged."",""title"":""Output Bool""},""output_code"":{""description"":""Output code logged."",""title"":""Output Code"",""type"":""string"",""widget"":""codeeditor""},""output_date"":{""description"":""Output date logged."",""format"":""date"",""title"":""Output Date"",""type"":""string""},""output_datetime"":{""description"":""Output datetime logged."",""format"":""date-time"",""title"":""Output Datetime"",""type"":""string""},""output_enum"":{""anyOf"":[{""type"":""string""},{""type"":""null""}],""description"":""Output enum logged."",""title"":""Output Enum""},""output_float"":{""anyOf"":[{""type"":""number""},{""type"":""null""}],""description"":""Output float logged."",""title"":""Output Float""},""output_int"":{""anyOf"":[{""type"":""integer""},{""type"":""null""}],""description"":""Output integer logged."",""title"":""Output Int""},""output_log"":{""description"":""All values logged."",""title"":""Output Log"",""type"":""string""},""output_str"":{""anyOf"":[{""type"":""string""},{""type"":""null""}],""description"":""Output string logged."",""title"":""Output Str""},""output_time"":{""description"":""Output time logged."",""format"":""time"",""title"":""Output Time"",""type"":""string""}},""required"":[""output_log"",""output_str"",""output_int"",""output_float"",""output_bool"",""output_enum"",""output_date"",""output_time"",""output_datetime"",""output_array"",""output_code""],""title"":""OutputModel"",""type"":""object""}"
156,AWSS3StoragePiece,AWS s3 Storage Default Piece,"[""""]","{""properties"":{""base_folder"":{""default"":"""",""title"":""Base Folder"",""type"":""string""},""bucket"":{""default"":"""",""title"":""Bucket"",""type"":""string""}},""title"":""InputModel"",""type"":""object""}",{}
6,ImageFilterPiece,A Piece that applies selected image filters to an image.,"[""default"", ""image""]","{""$defs"":{""OutputTypeType"":{""description"":""Output type for the result text"",""enum"":[""file"",""base64_string"",""both""],""title"":""OutputTypeType"",""type"":""string""}},""properties"":{""black_and_white"":{""default"":false,""description"":""Apply black and white effect."",""title"":""Black And White"",""type"":""boolean""},""blue"":{""default"":false,""description"":""Apply blue effect."",""title"":""Blue"",""type"":""boolean""},""brightness"":{""default"":false,""description"":""Apply brightness effect."",""title"":""Brightness"",""type"":""boolean""},""contrast"":{""default"":false,""description"":""Apply contrast effect."",""title"":""Contrast"",""type"":""boolean""},""cool"":{""default"":false,""description"":""Apply cool effect."",""title"":""Cool"",""type"":""boolean""},""darkness"":{""default"":false,""description"":""Apply darkness effect."",""title"":""Darkness"",""type"":""boolean""},""green"":{""default"":false,""description"":""Apply green effect."",""title"":""Green"",""type"":""boolean""},""input_image"":{""description"":""Input image. It should be either a path to a file, or a base64 encoded string."",""from_upstream"":""always"",""title"":""Input Image"",""type"":""string""},""output_type"":{""allOf"":[{""$ref"":""#/$defs/OutputTypeType""}],""default"":""both"",""description"":""Format of the output image. Options are: `file`, `base64_string`, `both`.""},""red"":{""default"":false,""description"":""Apply red effect."",""title"":""Red"",""type"":""boolean""},""sepia"":{""default"":false,""description"":""Apply sepia effect."",""title"":""Sepia"",""type"":""boolean""},""warm"":{""default"":false,""description"":""Apply warm effect."",""title"":""Warm"",""type"":""boolean""}},""required"":[""input_image""],""title"":""ImageFilterPiece"",""type"":""object""}","{""properties"":{""image_base64_string"":{""default"":"""",""description"":""Base64 encoded string of the output image."",""title"":""Image Base64 String"",""type"":""string""},""image_file_path"":{""default"":"""",""description"":""Path to the output image file."",""title"":""Image File Path"",""type"":""string""}},""title"":""OutputModel"",""type"":""object""}"
7,DataConversionPiece,Convert data from one format to another,"[""data"", ""conversion"", ""default""]","{""$defs"":{""DataFormatOption"":{""enum"":[""csv"",""json""],""title"":""DataFormatOption"",""type"":""string""}},""properties"":{""input_data"":{""description"":""Input data to be converted. Can be a file path or data as string."",""title"":""Input Data"",""type"":""string""},""input_data_format"":{""allOf"":[{""$ref"":""#/$defs/DataFormatOption""}],""default"":""csv"",""description"":""Input data format to be converted.""},""output_data_format"":{""allOf"":[{""$ref"":""#/$defs/DataFormatOption""}],""default"":""json"",""description"":""Output data format.""}},""required"":[""input_data""],""title"":""DataConversionPiece"",""type"":""object""}","{""properties"":{""output_file_path"":{""description"":""Path to the converted file."",""title"":""Output File Path"",""type"":""string""}},""required"":[""output_file_path""],""title"":""OutputModel"",""type"":""object""}"
8,YDataProfilingPiece,Piece that uses ydata-profiling to create fast EDA.,"[""default"", ""eda""]","{""properties"":{""data_path"":{""description"":""Path to the CSV file to be profiled"",""from_upstream"":""always"",""title"":""CSV file path"",""type"":""string""},""report_tile"":{""anyOf"":[{""type"":""string""},{""type"":""null""}],""default"":""Profiling Report"",""description"":""Title of the report"",""title"":""Report title""}},""required"":[""data_path""],""title"":""YDataProfilingPiece"",""type"":""object""}","{""properties"":{""profile_file_path"":{""description"":""Path to the output file."",""title"":""Output file path"",""type"":""string""}},""required"":[""profile_file_path""],""title"":""OutputModel"",""type"":""object""}"
9,StringConditionChecksPiece,A Piece that checks conditions on a string,"[""default"", ""string""]","{""$defs"":{""ChecksTypes"":{""enum"":[""contains_case_sensitive"",""contains_case_insensitive"",""length_greater_than"",""length_greater_than_or_equal_to"",""length_less_than"",""length_less_than_or_equal_to"",""length_equal_to"",""regex_match""],""title"":""ChecksTypes"",""type"":""string""},""LogicalOperators"":{""enum"":[""and"",""or""],""title"":""LogicalOperators"",""type"":""string""},""OperationItem"":{""properties"":{""next_logical_operator"":{""allOf"":[{""$ref"":""#/$defs/LogicalOperators""}],""default"":""and"",""description"":""Logical operator to use with the next operation result.""},""operation"":{""allOf"":[{""$ref"":""#/$defs/ChecksTypes""}],""description"":""Operation to perform.\nOptions: `contains_case_sensitive`, `contains_case_insensitive`, `length_greater_than`, `length_greater_than_or_equal_to`, `length_less_than`, `length_less_than_or_equal_to`, `length_equal_to`, `regex_match`.\n"",""from_upstream"":""never""},""second_argument"":{""default"":"""",""description"":""Value for the second argument.\nIf `contains_case_sensitive` or `contains_case_insensitive` are selected, this argument will be used as the string to search for.\nIf `length_greater_than`, `length_greater_than_or_equal_to`, `length_less_than`, `length_less_than_or_equal_to` or `length_equal_to` are selected, this argument will be used as the integer value to compare with.\nIf `regex_match` is selected, this argument will be used as the string to match with the regex pattern.\n"",""title"":""Second Argument"",""type"":""string""}},""required"":[""operation""],""title"":""OperationItem"",""type"":""object""}},""properties"":{""input_string"":{""description"":""Input string."",""title"":""Input String"",""type"":""string""},""operations"":{""description"":""Sequence of operations to perform."",""items"":{""$ref"":""#/$defs/OperationItem""},""title"":""Operations"",""type"":""array""}},""required"":[""input_string"",""operations""],""title"":""StringConditionChecksPiece"",""type"":""object""}","{""properties"":{""check_result"":{""description"":""Result of the checks."",""title"":""Check Result"",""type"":""boolean""}},""required"":[""check_result""],""title"":""OutputModel"",""type"":""object""}"
